id;fecha;detalles;estado;metodo_de_pago;fecha_de_pago;monto_pagado;cliente_id;pedido_id
1;2020-05-10T21:01:33;SAS Function-based Florida;PAGADO;TARJETA_DE_CREDITO;2020-05-10T02:52:03;19803;1;1
2;2020-05-10T20:04:09;feed hacking;PAGADO;TARJETA_DE_CREDITO;2020-05-10T09:03:34;80094;2;2
3;2020-05-10T10:44:32;Personal Loan Account transmit Steel;EXPEDIDO;PAYPAL;2020-05-10T00:37:17;67261;3;3
4;2020-05-10T11:07:33;Crest;PAGADO;TARJETA_DE_CREDITO;2020-05-10T19:56:28;53446;4;4
5;2020-05-10T19:50:28;compressing Costa Rican Colon Delaware;CANCELADO;EFECTIVO;2020-05-10T07:37:34;30768;5;5
6;2020-05-10T16:00:36;Iceland Krona;EXPEDIDO;TARJETA_DE_CREDITO;2020-05-10T05:54:10;77486;6;6
7;2020-05-10T13:46:19;synthesizing Developer;EXPEDIDO;EFECTIVO;2020-05-10T00:47:58;527;7;7
8;2020-05-10T11:16:21;pricing structure;PAGADO;EFECTIVO;2020-05-09T23:29:21;63672;8;8
9;2020-05-10T14:06:02;value-added;CANCELADO;PAYPAL;2020-05-10T00:56:08;71159;9;9
10;2020-05-10T01:48:29;Kids;EXPEDIDO;EFECTIVO;2020-05-10T01:18:51;29271;10;10
